EPA Region,State,Majors in ICIS-NPDES,Non-Majors in ICIS-NPDES,Majors w/ Pollutant Loadings,Non-Majors w/ Pollutant Loadings,Majors w/ Pollutant Loadings,Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
04,ALABAMA,177,1137,176,988,99,87,3111643585,2166085701,617613,191956
10,ALASKA,40,52,38,36,95,69,843687612,7016443,34482,244
09,AMERICAN SAMOA,4,2,3,2,75,100,3846274,31464,45411,6
09,ARIZONA,74,88,66,87,89,99,1049096781,25309823,283179,1315
06,ARKANSAS,115,681,115,676,100,99,483331433,40804357,738814,76548
09,CALIFORNIA,225,183,211,164,94,90,3211473558,8.82679E+11,2702349,29937187171974791718
08,COLORADO,123,420,118,263,96,63,654287590,357453563,325808,15219
01,CONNECTICUT,84,66,84,59,100,89,37298438,38193126,883746,290466
03,DELAWARE,14,31,13,26,93,84,12965089,266270,303180,990
03,DISTRICT OF COLUMBIA,4,6,4,4,100,67,8603972,718281,4858,1668
04,FLORIDA,400,251,166,218,42,87,7449919437,241746591,641683,62012
04,GEORGIA,208,502,204,419,98,83,217491257,43431883,199832,4660
09,GUAM,4,8,4,6,100,75,2573647,1549484,1183,14350
06,GULF OF MEXICO,,1,,0,,0,,,,
04,GULF OF MEXICO EAST,,1,,0,,0,,,,
09,HAWAII,18,62,16,23,89,37,41794695,7501879,7821,3206
10,IDAHO,38,131,37,112,97,85,122851432,1.56072E+11,13331,1382
05,ILLINOIS,267,1223,267,1147,100,94,696707037,361047823,1804539,93311
05,INDIANA,192,6722,192,1563,100,23,1103405541,115509824,496841,20972
07,IOWA,138,1423,135,1124,98,79,126275769,165244105,69475,43992
07,KANSAS,61,1317,58,684,95,52,214450872,305669667,55941,4193
04,KENTUCKY,137,1194,135,1168,99,98,623176458,184686785,16569231,57269
06,LOUISIANA,244,1000,244,973,100,97,6555611041,11811661322,7222432,100150591
01,MAINE,74,322,70,190,95,59,89853949,1323458,11331,2052
09,MARIANA ISLANDS,2,3,2,2,100,67,136245,0,46,0
03,MARYLAND,90,360,78,319,87,89,46813821,48352361,115295606,16487
01,MASSACHUSETTS,86,61,81,52,94,85,167763717,1323239263,1153880,27915
05,MICHIGAN,192,671,182,345,95,51,1131544790,658757015,1139745,341688
05,MINNESOTA,101,516,98,319,97,62,2699172222,405661646,8526460,13673
04,MISSISSIPPI,90,1065,89,989,99,93,56301607,131335365,56674,25992
07,MISSOURI,179,2625,179,1824,100,69,669090389,6586997011,303415,40384354
08,MONTANA,32,143,30,126,94,88,86193198,73099492,9914,36868
07,NEBRASKA,52,622,51,515,98,83,152158080,3353771967,1652747,129338
09,NEVADA,15,83,10,68,67,82,684326396,84768427,23113,13421
01,NEW HAMPSHIRE,40,18,40,16,100,89,143613747,852314,35698,23534
02,NEW JERSEY,131,328,131,289,100,88,381647056,20468516,152728,11996
06,NEW MEXICO,31,76,31,74,100,97,159770512,12659269,304060,50393
02,NEW YORK,313,1481,309,1057,99,71,953587371,206565626,1235433,2187738
04,NORTH CAROLINA,223,1139,213,820,96,72,232519806,1618184725,108712,33955
08,NORTH DAKOTA,23,82,23,78,100,95,120183889,29945997,12151,20750
05,OHIO,284,2975,283,2904,100,98,3783055359,997645659,106521,34861
06,OKLAHOMA,105,330,103,328,98,99,2746075719,1149863701,161234,15020
10,OREGON,73,247,65,238,89,96,103809736,24040068,48354,14612
03,PENNSYLVANIA,395,7825,391,3494,99,45,2703166529,3887401492,3332518,6987918358
02,PUERTO RICO,62,133,62,131,100,98,2870740097,96237179,116338,10908
01,RHODE ISLAND,23,46,23,40,100,87,18582691,2295232,82594,1791
04,SOUTH CAROLINA,160,575,156,217,98,38,139175081,4161357,6144423,67784
08,SOUTH DAKOTA,23,226,23,198,100,88,22905881,47628626,6497,1391
04,TENNESSEE,162,877,161,754,99,86,1336711259,86828321,580780,95796
06,TEXAS,732,2893,693,2138,95,74,13382903228,3198254982,1809838,958105
08,UTAH,41,180,39,98,95,54,599782344,77678002,425834,4581
01,VERMONT,34,313,33,142,97,45,14514032,999886,12726,2481
02,VIRGIN ISLANDS,7,55,7,53,100,96,4351157,28517805,464,2453
03,VIRGINIA,150,1003,137,862,91,86,582360075,223099998,382536,14070
10,WASHINGTON,76,371,49,170,64,46,658425,1999542,2923,326
03,WEST VIRGINIA,86,1867,86,1613,100,86,594374462,1386502992,80661364,742122
05,WISCONSIN,119,1136,118,581,99,51,152940352,28324191,19640,1729
08,WYOMING,24,533,24,449,100,84,55192181,790751410,958,18553384
